,NCESID,StudentTestID,StudentLocalID,StudentGradeLevel,TestDate,TestName,TestTypeName,TestSubjectName,TestGradeLevel,Score1Label,Score1Type,Score1Value,Score2Label,Score2Type,Score2Value,Score3Label,Score3Type,Score3Value
141,101010,1570107,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,2-W,, , ,CPI,Scale,100
142,101010,1873454,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
143,101010,1873454,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,266,CPI,Scale,100
144,101010,1619446,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,234,CPI,Scale,75
145,101010,1619446,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100
146,101010,1147139,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,220,CPI,Scale,50
147,101010,1147139,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
148,101010,1132868,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100
149,101010,1132868,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75
150,101010,1336451,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2-W,, , ,CPI,Scale,100
151,101010,1336451,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,2-W,, , ,CPI,Scale,100
152,101010,1349232,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
153,101010,1349232,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
154,101010,1075046,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,256,CPI,Scale,100
155,101010,1075046,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100
156,101010,1864228,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,3-NI,Scaled Score,Scale,224,CPI,Scale,50
157,101010,1864228,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,226,CPI,Scale,50
158,101010,1791284,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100
159,101010,1791284,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100
160,101010,1596742,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2-W,Scaled Score,Scale,216,CPI,Scale,25
161,101010,1596742,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,230,CPI,Scale,75
162,101010,1891149,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,2-W,, , ,CPI,Scale,100
163,101010,1891149,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,2-W,, , ,CPI,Scale,100
164,101010,1419579,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,5-A,Scaled Score,Scale,280,CPI,Scale,100
165,101010,1419579,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,274,CPI,Scale,100
166,101010,1339404,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,254,CPI,Scale,100
167,101010,1339404,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,5-A,Scaled Score,Scale,262,CPI,Scale,100
168,101010,1393375,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,250,CPI,Scale,100
169,101010,1393375,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,236,CPI,Scale,75
170,101010,1951579,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,248,CPI,Scale,100
171,101010,1951579,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,4-P,Scaled Score,Scale,240,CPI,Scale,100
172,101010,1209961,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100
173,101010,1209961,Missing,4,5/1/2013,MCAS,MCAS Math,Math,4,Performance Level,Level,3-NI,Scaled Score,Scale,232,CPI,Scale,75
174,101010,1238037,Missing,4,4/1/2013,MCAS,MCAS ELA,ELA,4,Performance Level,Level,4-P,Scaled Score,Scale,242,CPI,Scale,100
